Title,Product categories,Content,Sku,Additional Features Filter,Commutation for 3 phase motors,Supply Voltage DC 1,DC Supply Voltage Range,AC Supply Voltage Range,Status,Family,Form Factor,Product Series,Current Continuous (A),Current Peak (A),Network Commutation,Functional Safety,Size,Weight,Control_Command,Primary Feedback,Operating Mode,Motor Type,Drive Intelligence,Auxiliary Feedback,Network Communication,Network Configuration Service Channel,Environment,Separate Logic Supply,Isolation,Primary I/O Logic Level,Rated Power Continuous,Rated Power Peak,AC Supply Voltage,AC Input Phases Note,Built-in Shunt Resistor,Built-in Shunt Regulator,Additional Features,Digital Inputs 5v,Digital Outputs 5v,Digital Inputs 24v,Digital Outputs 24v,General Purpose IO,Aninputs,Anoutputs,Inductance Line to Line,Output Voltage DC,Clamping Voltage,AC Input phases,Rated Dissipation Capability,device_description,DC Supply Voltage (VDC)
Click&Move,Controls,"Click&amp;Move® is an Automation Solution. This motion control software is designed to be an application solution for OEMs and systems integrators. It can include motion control, PLC logic, local I/O, and networked I/O.
<ul>
         <li>Combines Motion, PLC and HMI control</li>
         <li>Based on PLCopen, the global standard for industrial control programming</li>
         <li>Fully IEC 61131-3 compliant using graphical Function Block Diagrams (FBDs)</li>
         <li>Multiple platforms supported: PC (Win OS and Linux), stand-alone controller (MACC), and <em>ADVANCED</em> Motion Controls' drives</li>
         <li>Supports CANopen and EtherCAT network protocols</li>
</ul>
To request a download of Click&amp;Move®, please <a href=""https://www.a-m-c.com/controls/clickandmove-request/"">fill out this form.</a>

Please fill out the <a href=""/wp-content/uploads/amcrep/AMC_Repdoc_CMOpportunityForm.pdf"">Click&amp;Move® Opportunity Form</a> to give us a better idea of your application needs.

Current release of Click&amp;Move® is 5.4.2.

Learn more about Click&amp;Move® <a href=""/experience/products/controls/clickandmove/"">here.</a>",Click_Move,,,,,,Active,C&M Automation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACE,Controls,"<br><strong>Download ACE™ below in the Software section.</strong><br><br>ACE™ (ADVANCED Motion Controls Configuration Environment) is free commissioning and configuration software for FlexPro® servo drives. All drive limits, control loops (current, velocity, and position), and event handling are configured in ACE™.<br><br>Current ACE™ release is 1.2024.2, Patch 1.1 released March 04, 2025.<br><br><strong>Download ACE™ below in the Software section.</strong>",ACE,,,,,,Active,FlexPro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DriveWare,Controls,"<br><strong>Download DriveWare® below in the Software section.</strong><br><br>DriveWare® 7 is free commissioning and configuration software for DigiFlex® Performance™ servo drives. All drive limits, control loops (current, velocity, and position), and event handling are configured in DriveWare®.<br><br>DriveWare® also features the Motion Engine, built-in motion controller functionality to control basic positioning, motion profiles, indexes and sequences.<br><br><li><strong>Indexing</strong> - Create up to 16 unique Index Tasks by defining position, velocity, and acceleration/deceleration values. Indexes can be either Relative or Absolute motion profiles. Once created, Indexes can be activated using the Motion Panel, digital inputs, or by using an external network command.<br><br><li><strong>Sequencing</strong> - Indexes can be combined with Homing routines and other control functions to form up to 16 different Sequences. Sequences can be configured to initiate on power-up, via a digital input, or over the network.<br><br><li><strong>Motion Panel</strong> - The Motion Panel tool is used to execute pre-defined Indexes, Dynamic Indexes, Jogs, and PVT motion profiles. The Motion Panel also displays current motion profile data and Motion Engine status. <br><br><li> Runs on Windows 7, 8, or 10<br><br><li>C++ Static Library<br><br><li>Based on the Industry Standard PLCopen Function Blocks.<br><br><li>CAN and RS232 Communication<br><br><br>Current DriveWare® release is 7.4.2. patch 1.2, released September 13, 2024. <br><br><strong>Download DriveWare® below in the Software section.</strong>",DriveWare,,,,,,Active,DigiFlex Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DriveLibrary,Controls,"<br>DriveLibrary™ is a motion control API for controlling DigiFlex® Performance™ servo drives.<br><br>Using a pre-defined set of motion functions, a programmer can easily command single-axis motion profiles. DriveLibrary is designed to allow software developers without expertise in drive control to effectively develop motion applications.<br><br><li>Runs on Windows 7, 8, or 10<br><br><li>C++ Static Library<br><br><li>Based on Industry Standard PLCopen Function Blocks<br><br><li>CAN and RS232<br><br>Current DriveLibrary™ release is 1.0.",DriveLibrary,,,,,,Discontinued,DigiFlex Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACC02,Controls,"<br>The MACC02 motion automation control card operates from a 24 VDC power supply and can control <em>ADVANCED</em> Motion Controls’ DigiFlex® Performance™ digital servo drives over EtherCAT and CANopen networks. Additionally, the optional plug-in I/O module enables the MACC to control non-networked <em>ADVANCED</em> Motion Controls’ analog or digital drives using traditional commands such as Step & Direction, +/-10V command signals and PWM and direction commands.<br><br>As a stand-alone controller the MACC can take the place of a PC in a control system to reduce cost. The MACC can also be configured to work in conjunction with a PC where the MACC handles the real-time and time-critical processes such as motion control, and the PC handles less time-critical processes such as the HMI.",MACC02,,,,,,Active,C&M Automation Solution,,,,,,,227.28 x 99.95 x 16.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACC11,Controls,"<br>The MACC11 (µMACC) motion automation control card is designed to be a compact, low cost, controller for machine automation and/or process control applications.<br><br>Based on firmware loaded, the MACC11 can control: up to 6 axes of servos or steppers via Pulse/Dir signals, servo drives via the CAN Bus, or 2 servo axes via PWM signals to digital servo drives.<br><br>Applications are programmed in one of three ways depending on the firmware loaded:<br><li>Using the powerful Click&Move® IDE (program resides on the PC)<br><li>Directly in C by the user or <em>ADVANCED</em> Motion Controls for custom projects (program resides on the MACC11)<br><li>Click&Move® program on the MACC11 (future release)<br><br>When using a Click&Move® program running on a PC, the MACC11 communicates with the user application via the RS232, RS485, USB, or Ethernet ports. If programmed in C, the MACC11 can act as a stand-alone controller. Also, application specific pre-programmed MACC11 versions are available for OEMs. High speed hard real-time applications (e.g. servo loops, data acquisition, etc.) can be implemented in the user programmable MACC11 version.",MACC11,,,,,,Active,C&M Automation Solution,,,,,,,142.30 x 99.95 x 18.10,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACCIO1,I/O Boards,<br>The MACCIO1 module features the necessary digital and analog I/O’s to support up to four current mode servo drives with ±10V analog command input. A cost-effective and high performance motion control system can be built using the hardware resources of the MACC on-board FPGA and the software resources of the Click&Move® software development environment.<br><li>8 16-bit analog inputs<br><li>8 16-bit digital inputs<br><li>16 optocoupled digital inputs<br><li>16 optocoupled digital outputs<br><li>2x4 isolated high speed RS422 differential outputs<br><li>4 isolated high speed RS422 differential inputs<br><li>4 incremental or EnDat 2.0 encoder inputs (population option)<br>,MACCIO1,,,,,,Active,C&M Automation Solution,,,,,,,219.96 x 99.95 x 13.60,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACCIO2,I/O Boards,"<br>The MACCIO2 module is a minimal solution for simple applications, using switches as input devices and LEDS or small signal relays on the output.<br><li>16 optocoupled digital inputs<br><li>16 optocoupled digital outputs<br>",MACCIO2,,,,,,Active,C&M Automation Solution,,,,,,,99.9 x 80.0 x 11.5,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACCIO3,I/O Boards,<br>The MACCIO3 module features the necessary digital I/O’s to support up to six position mode servo or stepper drives with Step/Dir command input. A cost-effective and high performance motion control system can be built using the hardware resources of the MACC on-board FPGA and the software resources of the Click&Move® software development environment.<br><br><li>12 optocoupled digital inputs<br><li>2 high speed differential optocoupled digital inputs<br><li>12 optocoupled digital outputs<br><li>12 high-speed RS422 differential digital inputs (2 per axis – galvanic isolation population option)<br><li>24 high-speed RS422 differential digital outputs (4 per axis – galvanic isolation population option)<br><li>4 independent encoder inputs supporting encoders or handwheels<br>,MACCIO3,,,,,,Active,C&M Automation Solution,,,,,,,219.96 x 99.95 x 11.04,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACCIO4,I/O Boards,<br>The MACCIO4 module features the necessary digital I/O’s to support up to four position mode servo or stepper drives with Step/Dir command input. A cost-effective and high performance motion control system can be built using the hardware resources of the MACC on-board FPGA and the software resources of the Click&Move® software development environment.<br><br><li>16 non-isolated digital outputs (4 per axis)<br><li>16 non-isolated digital inputs (4 per axis)<br><li>4 independent encoder inputs supporting encoders or handwheels<br>,MACCIO4,,,,,,Active,C&M Automation Solution,,,,,,,99.9 x 80.0 x 11.4,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
